date,tag,relev_1,relev_2
2016_07_18,170 @ imwithher,7.64,7.29
2016_07_18,212 @ blacklivesmatter,5.89,5.2
2016_07_18,261 @ neverhillary,4.59,10
2016_07_18,379 @ maga,8.36,6.29
2016_07_18,384 @ trump2016,10,4.08
2016_07_18,469 @ trumppence16,10,3.64
2016_07_18,509 @ gopconvention,7.73,5.4
2016_07_18,1071 @ trump,10,2.67
2016_07_18,1284 @ nevertrump,10,2.59
2016_07_18,4702 @ rncincle,7.01,4.63
2016_07_19,599 @ melaniatrump,10,2.25
2016_07_19,617 @ donaldtrump,10,4.46
2016_07_19,671 @ gop,7.83,5.77
2016_07_19,676 @ trumppence16,10,3.57
2016_07_19,782 @ trump2016,10,3.76
2016_07_19,972 @ rnc2016,7.7,4.67
2016_07_19,1453 @ nevertrump,10,2.52
2016_07_19,2186 @ gopconvention,7.56,4.96
2016_07_19,2782 @ trump,10,2.72
2016_07_19,12483 @ rncincle,6.93,4.19
2016_07_20,415 @ trump2016,10,3.64
2016_07_20,421 @ trndnl,4.75,2.23
2016_07_20,437 @ rnc2016,7.65,4.58
2016_07_20,459 @ neverhillary,4.76,10
2016_07_20,499 @ trumppence16,10,3.52
2016_07_20,622 @ freemilo,4.21,3.41
2016_07_20,839 @ nevertrump,10,2.49
2016_07_20,841 @ gopconvention,7.49,4.85
2016_07_20,1651 @ trump,10,2.7
2016_07_20,5175 @ rncincle,6.87,4.11
2016_07_22,289 @ donaldtrump,10,4.08
2016_07_22,337 @ maga,8.26,6.07
2016_07_22,356 @ trumptrain,10,4.22
2016_07_22,381 @ imwithher,7.53,6.79
2016_07_22,397 @ neverhillary,4.83,10
2016_07_22,468 @ trndnl,4.57,2.04
2016_07_22,541 @ trumppence16,10,3.37
2016_07_22,911 @ nevertrump,10,2.42
2016_07_22,1625 @ trump,10,2.69
2016_07_22,2068 @ rncincle,6.8,3.99
2016_07_23,237 @ hillary,5.37,10
2016_07_23,315 @ trndnl,4.5,2.05
2016_07_23,334 @ dncleaks,4.94,5.89
2016_07_23,368 @ crookedhillary,4.24,10
2016_07_23,392 @ imwithher,7.48,6.85
2016_07_23,402 @ trumppence16,10,3.44
2016_07_23,438 @ nevertrump,10,2.45
2016_07_23,441 @ neverhillary,4.81,10
2016_07_23,531 @ dncleak,5.5,6.58
2016_07_23,769 @ trump,10,2.67
2016_07_24,688 @ crookedhillary,4.33,10
2016_07_24,778 @ nevertrump,10,2.48
2016_07_24,782 @ dnc,6.62,7.59
2016_07_24,830 @ trumppence16,10,3.47
2016_07_24,873 @ neverhillary,4.8,10
2016_07_24,1172 @ wwebattleground,2.08,1.07
2016_07_24,1409 @ trump,10,2.7
2016_07_24,1506 @ dncinphl,5.9,6.11
2016_07_24,1656 @ dncleaks,5.15,6.09
2016_07_24,2872 @ dncleak,5.47,6.38
2016_07_25,1106 @ hillary,5.38,10
2016_07_25,1339 @ dncleaks,5.24,6.18
2016_07_25,1350 @ neverhillary,4.75,10
2016_07_25,1443 @ imwithher,7.24,6.74
2016_07_25,1718 @ trump,10,2.77
2016_07_25,1869 @ dnc,6.43,7.26
2016_07_25,2531 @ dncleak,5.51,6.44
2016_07_25,3043 @ demconvention,5.51,5.69
2016_07_25,6816 @ dncinphl,5.65,5.84
2016_07_25,13290 @ demsinphilly,5.48,5.63
2016_07_26,855 @ trumppence16,10,3.65
2016_07_26,939 @ dncleak,5.51,6.45
2016_07_26,978 @ hillaryclinton,5.46,10
2016_07_26,1021 @ neverhillary,4.68,10
2016_07_26,1055 @ dnc,6.37,7.14
2016_07_26,1156 @ trump,10,2.78
2016_07_26,1626 @ imwithher,7.08,6.61
2016_07_26,2460 @ demconvention,5.43,5.61
2016_07_26,3187 @ dncinphl,5.63,5.79
2016_07_26,9614 @ demsinphilly,5.41,5.53
2016_07_27,904 @ neverhillary,4.65,10
2016_07_27,933 @ trumppence16,10,3.66
2016_07_27,1039 @ hillaryclinton,5.41,10
2016_07_27,1114 @ nevertrump,10,2.67
2016_07_27,1288 @ dnc,6.32,7.02
2016_07_27,1781 @ imwithher,6.96,6.54
2016_07_27,2091 @ trump,10,2.8
2016_07_27,2893 @ demconvention,5.34,5.56
2016_07_27,3354 @ dncinphl,5.61,5.74
2016_07_27,10664 @ demsinphilly,5.35,5.45
2016_07_28,376 @ nevertrump,10,2.68
2016_07_28,433 @ dnc,6.3,6.98
2016_07_28,468 @ hillaryclinton,5.41,10
2016_07_28,543 @ obama,6.7,6.53
2016_07_28,553 @ trump,10,2.81
2016_07_28,816 @ potus,6.82,6.01
2016_07_28,846 @ imwithher,6.92,6.5
2016_07_28,1855 @ dncinphl,5.59,5.7
2016_07_28,2029 @ demconvention,5.28,5.48
2016_07_28,8143 @ demsinphilly,5.3,5.36
2016_07_29,766 @ hillary,5.18,10
2016_07_29,885 @ trumppence16,10,3.71
2016_07_29,951 @ neverhillary,4.56,10
2016_07_29,1036 @ nevertrump,10,2.71
2016_07_29,1443 @ trump,10,2.83
2016_07_29,1480 @ dncinphl,5.58,5.73
2016_07_29,1564 @ demconvention,5.28,5.53
2016_07_29,2248 @ hillaryclinton,5.17,10
2016_07_29,3456 @ imwithher,6.74,6.46
2016_07_29,5625 @ demsinphilly,5.3,5.41
2016_07_30,415 @ trump2016,10,3.93
2016_07_30,486 @ maga,8.15,6.17
2016_07_30,530 @ crookedhillary,4.54,10
2016_07_30,569 @ trumppence16,10,3.73
2016_07_30,581 @ trndnl,3.92,2.55
2016_07_30,589 @ neverhillary,4.56,10
2016_07_30,598 @ hillaryclinton,5.15,10
2016_07_30,930 @ nevertrump,10,2.71
2016_07_30,962 @ imwithher,6.74,6.43
2016_07_30,1470 @ trump,10,2.81
2016_07_31,207 @ donaldtrump,10,4.93
2016_07_31,217 @ maga,8.14,6.18
2016_07_31,224 @ hillaryclinton,5.15,10
2016_07_31,248 @ crookedhillary,4.54,10
2016_07_31,264 @ neverhillary,4.54,10
2016_07_31,309 @ trndnl,3.89,2.46
2016_07_31,325 @ imwithher,6.74,6.42
2016_07_31,332 @ trumppence16,10,3.75
2016_07_31,415 @ nevertrump,10,2.67
2016_07_31,711 @ trump,10,2.79
2016_08_01,465 @ donaldtrump,10,4.87
2016_08_01,477 @ trumppence16,10,3.73
2016_08_01,565 @ hillaryclinton,5.14,10
2016_08_01,598 @ maga,8.16,6.29
2016_08_01,654 @ imwithher,6.75,6.41
2016_08_01,664 @ crookedhillary,4.67,10
2016_08_01,716 @ trndnl,3.84,2.29
2016_08_01,879 @ neverhillary,4.64,10
2016_08_01,1003 @ nevertrump,10,2.61
2016_08_01,2082 @ trump,10,2.82
2016_08_02,507 @ donaldtrump,10,4.89
2016_08_02,516 @ trndnl,3.79,2.2
2016_08_02,533 @ maga,8.16,6.31
2016_08_02,562 @ neverhillary,4.68,10
2016_08_02,577 @ trumppence16,10,3.74
2016_08_02,589 @ imwithher,6.76,6.4
2016_08_02,598 @ raw,3.26,1.64
2016_08_02,983 @ nevertrump,10,2.56
2016_08_02,1020 @ thebachelorette,3.75,2.21
2016_08_02,1973 @ trump,10,2.81
2016_08_03,68 @ hillaryclinton,5.13,10
2016_08_03,72 @ donaldtrump,10,4.86
2016_08_03,87 @ gop,7.73,5.49
2016_08_03,101 @ crookedhillary,4.69,10
2016_08_03,104 @ neverhillary,4.68,10
2016_08_03,109 @ maga,8.15,6.31
2016_08_03,132 @ trndnl,3.78,2.18
2016_08_03,150 @ imwithher,6.76,6.39
2016_08_03,224 @ nevertrump,10,2.56
2016_08_03,407 @ trump,10,2.8
